Title,Director,Cast,Production house,Duration,GrossCollection,Title Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1921,Vikram Bhatt,Zareen Khan,ASA Productions and Enterprises,2,2000000,2018,1,,,,,,,,
,,Karan Kundra,,,,,,,,,,,,,
,,Tobby Hinston,,,,,,,,,,,,,
,,Sonia Armstrong,,,,,,,,,,,,,
Kaalakaandi,Akshat Verma,Saif Ali Khan,Cinestan Film Company,0.104166666666667,5000000,2017,2,,,,,,,,
,,Isha Talwar,,,,,,,,,,,,,
,,Shenaz Treasury,,,,,,,,,,,,Year,Sale
,,Akshay Oberoi,,,,,,,,,,,,2000,100000
,,Vijay Raaz,,,,,,,,,,,,2001,150000
,,Deepak Dobriyal,,,,,,,,,,,,2002,250000
,,Sobhita Dhulipala,,,,,,,,,,,,2003,3900000
,,Kunaal Roy Kapur,,,,,,,,,,,,2004,4300000
,,Nary Singh,,,,,,,,,,,,2005,4000000
Mukkabaaz,Anurag Kashyap,Vineet Kumar Singh,"Eros International, Colour Yellow Productions",0.0729166666666667,3000000,2017,3,,,,,,,2006,396666
,,Zoya Hussain,,,,,,,,,,,,,
,,Ravi Kishan,,,,,,,,,,,,Year,Sale
,,Jimmy Sheirgill,,,,,,,,,,,,2000,516666.785714269
Phir Se...,Kunal Kohli,Jennifer Winget,Bombay Film Company Ltd.,0.114583333333333,1000000,2016,4,,,,,,,,
,,Kunal Kohli,The Bombay Company Ltd.(UK),,,,,,,,,,,,
,,Rajit Kappor,Netflix(Worldwide),,,,,,,,,,,,
My Birthday Song,Samir Soni,Sanjay Suri,Kahwa entertainment,0.0625,500000000,2014,5,,,,,,,,
,,Nora Fatehi,,,,,,,,,,,,,
,,Pitobash,,,,,,,,,,,,,
Vodka Diaries,Kushal Srivastava,Kay Kay Menon,K'Scope Entertainment Pvt Ltd & Vishalraj Films & Production Pvt Ltd,0.0833333333333333,800000000,2012,6,,,,,,,,
,,Mandira Bedi,,,,,,,,,,,,,
,,Raima Sen,,,,,,,,,,,,,
,,Sharib Hashmi,,,,,,,,,,,,,
Nirdosh,Pradeep Rangwani,Arbaaz Khan,UV Films,0.0520833333333333,3000000,2018,7,,,,,,,,
,,Manjari Fadnis,,,,,,,,,,,,,
,,Ashmit Patel,,,,,,,,,,,,,
,,Mukul Dev,,,,,,,,,,,,,
,,Mahek Chahal,,,,,,,,,,,,,
Union Leader,Sanjay Patel,Rahul Bhat,Dim Light Pictures,0.09375,4000000,2016,8,,,,,,,,
,,Tillotama Shome,,,,,,,,,,,,,
Padmaavat,Sanjay Leela Bhansali,Shahid Kapoor,"Viacom 18 Motion Pictures, Bhansali Productions",0.0763888888888889,50000000,2020,9,,Predicted Value,,,,,,
,,Deepika Padukone,,,,,,,,,,,,,
,,Ranveer Singh,,,,,,,,,,,,,
,,Aditi Rao Hydari,,,,,,,,,,,,,
Pad Man,R. Balki,Akshay Kumar,"Columbia Pictures KriArj Entertainment, Hope Productions, Cape Of Good Films, Mrs Funnybones Movies, SPE Films India",0.104166666666667,5000000,2017,10,,2018,100003822.519529,,,,,
,,Sonam Kapoor,,,,,,,,,,,,,
,,Radhika Apte,,,,,,,,,,,,,
Love Per Square Foot,Anand Tiwari,Vicky Kaushal,"RSVP Films, Netflix",0.0763888888888889,50000000,2015,,,,,,,,,
,,Angira Dhar,,,,,,,,,,,,,
,,Alankrita Sahai,,,,,,,,,,,,,
,,Raghubir Yadav,,,,,,,,,,,,,
Aiyaary,Neeraj Pandey,Sidharth Malhotra,Reliance Entertainment,0.09375,4000000,2016,,,,,,,,,
,,Manoj Bajpayee,,,,,,,,,,,,,
,,Rakul Preet Singh,,,,,,,,,,,,,
,,Pooja Chopra,,,,,,,,,,,,,
,,Anupam Kher,,,,,,,,,,,,,
,,Naseeruddin Shah,,,,,,,,,,,,,
Kuchh Bheege Alfaaz,Onir,Zain Khan Durrani,Yoodlee Films,0.0625,500000000,2014,,,,,,,,,
,,Geetanjali Thapa,,,,,,,,,,,,,
Jaane Kyun De Yaaron,Akshay Anand,Raghu Raja,"NeelRishiFilms, Theatre King",0.0625,250000000,2014,,,,,,,,,
,,Abhishek Sharma,,,,,,,,,,,,,
,,Kabir Bedi,,,,,,,,,,,,,
,,Chetna Pande,,,,,,,,,,,,,
,,Viju Khote,,,,,,,,,,,,,
Sonu Ke Titu Ki Sweety,Luv Ranjan,Kartik Aaryan,"T-Series, Luv Films",0.09375,4000000,2016,,,,,,,,,
,,Nushrat Bharucha,,,,,,,,,,,,,
,,Sunny Nijar,,,,,,,,,,,,,
Pari,Prosit Roy,Anushka Sharma,"Clean Slate Films, KriArj Entertainment",2,2000000,2018,,,,,,,,,
,,Parambrata Chatterjee,,,,,,,,,,,,,
,,Rajat Kapoor,,,,,,,,,,,,,
,,Ritabhari Chakraborty,,,,,,,,,,,,,
,,Mansi Multani,,,,,,,,,,,,,
Veerey Ki Wedding,Ashu Trikha,Pulkit Samrat,Panorama Studios,0.0625,2000000,2018,,,,,,,,,
,,Jimmy Sheirgill,,,,,,,,,,,,,
,,Kriti Kharbanda,,,,,,,,,,,,,
,,Satish Kaushik,,,,,,,,,,,,,
,,Yuvika Chaudhary,,,,,,,,,,,,,
,,Supriya Karnik,,,,,,,,,,,,,
,,Sapna Chaudhary,,,,,,,,,,,,,
Hate Story 4,Vishal Pandya,Urvashi Rautela,T-Series,0.0625,4000000,2018,,,,,,,,,
,,Vivan Bhatena,,,,,,,,,,,,,
,,Karan Wahi,,,,,,,,,,,,,
,,Ihana Dhillon,,,,,,,,,,,,,
,,Gulshan Grover,,,,,,,,,,,,,
Dil Juunglee,Aleya Sen,Saqib Saleem,Pooja Entertainment,0.0625,4000000,2016,,,,,,,,,
,,Tapsee Pannu,,,,,,,,,,,,,
,,Abhilash Thapleyal,,,,,,,,,,,,,
,,Nidhi Singh,,,,,,,,,,,,,
,,Srishti Srivastava,,,,,,,,,,,,,
,,Ayesha Khaduskar,,,,,,,,,,,,,
3 Storeys,Arjun Mukerjee,Richa Chaddha,Excel Entertainment | Open Air Films,0.125,1000000,2011,,,,,,,,,
,,Pulkit Samrat,,,,,,,,,,,,,
,,Sharman Joshi,,,,,,,,,,,,,
,,Renuka Shahane,,,,,,,,,,,,,
,,Masumeh Makhija,,,,,,,,,,,,,
,,Laksh Singh,,,,,,,,,,,,,
,,Aisha Ahmed,,,,,,,,,,,,,
,,Ankit Rathi,,,,,,,,,,,,,
Raid,Raj Kumar Gupta,Ajay Devgn,"T-Series, Panorama Studios",0.114583333333333,1000000,2009,,,,,,,,,
,,Ileana D'Cruz,,,,,,,,,,,,,
,,Saurabh Shukla,,,,,,,,,,,,,
Hichki,Siddharth P Malhotra,Rani Mukerji,Yash Raj Films,0.104166666666667,500000000,2010,,,,,,,,,
Shaadi Teri Bajayenge Hum Band,Gurpreet Sondh,Rajpal Yadav,Rangrezaa Films,0.0729166666666667,1000000,2008,,,,,,,,,
